Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-3881	MANNITOL // Pi // WATER // PROTON // NADPH // NADP // MANNITOL-1P // FRUCTOSE-6P // CPD-15979	AT2G25870-MONOMER // AT2G38740-MONOMER // AT2G21250-MONOMER // AT2G21260-MONOMER // AT1G67070-MONOMER // AT3G02570-MONOMER	AT2G25870 // AT2G38740 // AT2G21250 // AT2G21260 // AT1G67070 // AT3G02570	MANNPISOM-RXN // MANNOSE-6-PHOSPHATE-6-REDUCTASE-RXN // MANNITOL-1-PHOSPHATASE-RXN	FRUCTOSE-6P // NADPH // PROTON // WATER	NADP // Pi // MANNITOL	Sugar-Alcohols-Biosynthesis
PWY-6005	EPOXYSQUALENE // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-21325 // CPD-10285 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT5G42600-MONOMER	AT5G42600	RXN-19693 // RXN-9664	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // EPOXYSQUALENE	CPD-21325 // Ox-NADPH-Hemoprotein-Reductases // WATER	TRITERPENOID-SYN
PWY-5466	CPD-8905 // CPD-8907 // CPD-8909 // NADH // CPD-8912 // CPD-8911 // NAD // PROTON // NADPH // CPD-8908 // CPD-8910 // NADP // OXYGEN-MOLECULE // WATER // CONIFERYL-ALCOHOL // HYDROGEN-PEROXIDE // CPD-8906 // CPD-18761	AT4G13660-MONOMER // AT1G32100-MONOMER	AT4G13660 // AT1G32100	RXN-17353 // RXN-17352 // RXN-17351 // RXN-8684 // RXN-8683 // RXN-8681 // RXN-8680 // RXN-8679 // RXN-8678 // RXN-8677	CONIFERYL-ALCOHOL // HYDROGEN-PEROXIDE // OXYGEN-MOLECULE // NADPH // NAD	WATER // CPD-8910 // NADP // CPD-8912 // NADH	LIGNAN-SYN
PWY-6303	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // METOH // INDOLE_ACETATE_AUXIN // PROTON // CPD-10546 // WATER	AT5G55250-MONOMER // AT3G10870-MONOMER	AT5G55250 // AT3G10870	RXN-10711 // RXN-9825	WATER // S-ADENOSYLMETHIONINE	PROTON // METOH // ADENOSYL-HOMO-CYS	Auxin-Biosynthesis // Interconversion
PWY0A-6303	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // METOH // INDOLE_ACETATE_AUXIN // CPD-10546 // WATER	AT5G55250-MONOMER // AT3G10870-MONOMER // AT2G23620-MONOMER // AT2G23560-MONOMER // AT2G23600-MONOMER // AT2G23610-MONOMER // AT4G37150-MONOMER // AT4G16690-MONOMER // AT5G58310-MONOMER // AT2G23590-MONOMER // AT4G37140-MONOMER // AT2G23570-MONOMER // AT1G69240-MONOMER // MONOMERQT-9104 // AT3G29770-MONOMER	AT5G55250 // AT3G10870 // AT2G23620 // AT2G23560 // AT2G23600 // AT2G23610 // AT4G37150 // AT4G16690 // AT5G58310 // AT2G23590 // AT4G37140 // AT2G23570 // AT1G69240 // AT2G23550 // AT3G29770	RXN0A-10711 // RXN-9825	WATER // S-ADENOSYLMETHIONINE	METOH // ADENOSYL-HOMO-CYS	Auxin-Biosynthesis
NONMEVIPP-PWY	CARBON-DIOXIDE // PYRUVATE // GAP // NADPH // DEOXYXYLULOSE-5P // NADP // CMP // Reduced-ferredoxins // Oxidized-ferredoxins // ADP // 2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET // ATP // PPI // 4-CYTIDINE-5-DIPHOSPHO-2-C // 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE // CTP // CPD-4211 // DELTA3-ISOPENTENYL-PP // Reduced-flavodoxins // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE // HYDROXY-METHYL-BUTENYL-DIP // Oxidized-flavodoxins // WATER // PROTON	AT5G11380-MONOMER // AT4G15560-MONOMER // MONOMERQT-8634 // AT5G62790-MONOMER // AT1G63970-MONOMER // AT4G34350-MONOMER-9581 // AT2G26930-MONOMER // AT2G02500-MONOMER // AT2G02497-MONOMER // AT3G02780-MONOMER // AT5G16440-MONOMER // MONOMERQT-9261	AT5G11380 // AT4G15560 // AT3G21500 // AT5G62790 // AT1G63970 // AT4G34350 // AT2G26930 // AT2G02500 // AT2G02497 // AT3G02780 // AT5G16440 // AT1G79690 // AT4G14890	RXN-15878 // IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN	Reduced-flavodoxins // CTP // ATP // Reduced-ferredoxins // NADPH // PYRUVATE // GAP	Oxidized-flavodoxins // WATER // CPD-4211 // PPI // ADP // Oxidized-ferredoxins // CMP // NADP // CARBON-DIOXIDE	MEP-Pathways
PWY-7560	CARBON-DIOXIDE // PYRUVATE // GAP // NADPH // DEOXYXYLULOSE-5P // NADP // CMP // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE // Reduced-ferredoxins // HYDROXY-METHYL-BUTENYL-DIP // Oxidized-ferredoxins // WATER // ADP // 2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET // ATP // PPI // 4-CYTIDINE-5-DIPHOSPHO-2-C // PROTON // 2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE // CTP // CPD-4211 // DELTA3-ISOPENTENYL-PP	AT5G11380-MONOMER // AT4G15560-MONOMER // MONOMERQT-8634 // AT5G62790-MONOMER // AT1G63970-MONOMER // AT5G60600-MONOMER // AT4G34350-MONOMER-9581 // AT2G26930-MONOMER // AT2G02500-MONOMER // AT2G02497-MONOMER // AT3G02780-MONOMER // AT5G16440-MONOMER // MONOMERQT-9261	AT5G11380 // AT4G15560 // AT3G21500 // AT5G62790 // AT1G63970 // AT5G60600 // AT4G34350 // AT2G26930 // AT2G02500 // AT2G02497 // AT3G02780 // AT5G16440 // AT1G79690 // AT4G14890	IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-882 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN	CTP // ATP // Reduced-ferredoxins // NADPH // PYRUVATE // GAP	CPD-4211 // PPI // ADP // Oxidized-ferredoxins // WATER // CMP // NADP // CARBON-DIOXIDE	MEP-Pathways
PWY-5386	E- // METHYL-GLYOXAL // GLUTATHIONE // PROTON // S-LACTOYL-GLUTATHIONE // WATER // PYRUVATE // Ubiquinols // Ubiquinones // D-LACTATE	AT1G67280-MONOMER // AT1G08110-MONOMER // AT1G11840-MONOMER // AT3G02720-MONOMER // MONOMERQT-9027 // AT2G28420-MONOMER // AT1G06130-MONOMER // AT1G25375-MONOMER // MONOMERQT-8131 // AT2G31350-MONOMER // AT2G43430-MONOMER // AT3G10850-MONOMER // CPLXQT-45	AT1G67280 // AT1G08110 // AT1G11840 // AT3G02720 // AT2G32090 // AT2G28420 // AT1G06130 // AT1G25375 // AT4G33540 // AT2G31350 // AT2G43430 // AT3G10850 // AT5G06580	DLACTDEHYDROGFAD-RXN // GLYOXII-RXN // GLYOXI-RXN	Ubiquinones // WATER // METHYL-GLYOXAL	Ubiquinols // PYRUVATE // PROTON	Methylglyoxal-Detoxification
PWY-5453	NADPH // METHYL-GLYOXAL // NADP // PROTON // NADH // ACETOL // PROPANE-1-2-DIOL // NAD	AT2G37770-MONOMER // AT2G37760-MONOMER // AT2G24190-MONOMER // AT3G04000-MONOMER // AT1G54870-MONOMER // AT4G13180-MONOMER // AT5G62420-MONOMER // AT3G03980-MONOMER // AT3G05260-MONOMER // AT2G37790-MONOMER // AT3G53880-MONOMER // MONOMERQT-7933	AT2G37770 // AT2G37760 // AT2G24190 // AT3G04000 // AT1G54870 // AT4G13180 // AT5G62420 // AT3G03980 // AT3G05260 // AT2G37790 // AT3G53880 // AT5G18210	RXN-8632 // RXN0-4281	NADH // PROTON // METHYL-GLYOXAL // NADPH	PROPANE-1-2-DIOL // NAD // NADP	Methylglyoxal-Detoxification
PWY-6730	CPD-7676 // CPD-387 // CPD-845 // CL- // CPD-12221 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // BR-	AT2G43940-MONOMER // MONOMERQT-8901 // MONOMERQT-8903	AT2G43940 // AT2G43920 // AT2G43910	RXN-11268 // RXN-11267 // RXN-11241	S-ADENOSYLMETHIONINE // BR- // CL- // CPD-387	ADENOSYL-HOMO-CYS // CPD-12221 // CPD-845 // CPD-7676	Other-biosynthesis
PWY-6064	3457-TETRAHYDROXY-3-METHOXYFLAVONE // ADENOSYL-HOMO-CYS // CPD-8004 // PROTON // S-ADENOSYLMETHIONINE // CPD-520	AT5G54160-MONOMER // AT4G26220-MONOMER	AT5G54160 // AT4G26220	RXN-8262 // QUERCETIN-3-O-METHYLTRANSFERASE-RXN	S-ADENOSYLMETHIONINE // CPD-520	PROTON // CPD-8004 // ADENOSYL-HOMO-CYS // 3457-TETRAHYDROXY-3-METHOXYFLAVONE	FLAVONOL-SYN
PWY18C3-22	ADENOSYL-HOMO-CYS // CPD-6442 // S-ADENOSYLMETHIONINE // CPD-110	CPLX-6221 // AT5G04370-MONOMER // AT5G66430-MONOMER // AT2G14060-MONOMER // AT5G38020-MONOMER // AT4G36470-MONOMER // MONOMERQT-8051 // MONOMERQT-8632	AT3G11480 // AT5G04370 // AT5G66430 // AT2G14060 // AT5G38020 // AT4G36470 // AT5G04380 // AT3G21950	RXN-6723	S-ADENOSYLMETHIONINE // CPD-110	CPD-6442 // ADENOSYL-HOMO-CYS	Volatile-Benzenoids-Biosynthesis
PWY18C3-24	CPD-110 // PROTON // CPD-6442 // METOH // CPD-19221 // CPD-19219 // WATER	AT2G23560-MONOMER // AT2G23580-MONOMER // AT2G23600-MONOMER // AT2G23620-MONOMER // AT4G37150-MONOMER // AT2G23570-MONOMER // AT2G23590-MONOMER // AT4G37140-MONOMER // MONOMERQT-9104 // AT3G29770-MONOMER	AT2G23560 // AT2G23580 // AT2G23600 // AT2G23620 // AT4G37150 // AT2G23570 // AT2G23590 // AT4G37140 // AT2G23550 // AT3G29770	RXN18C3-61 // RXNQT-4366	CPD-19219 // WATER // CPD-6442	CPD-19221 // METOH // PROTON // CPD-110	Metabolic-Clusters // PHENYLPROPANOID-DERIVATIVE-DEG
PWY-922	PROT-CYS // Protein-S-Acetyl-Cysteines // ACETOACETYL-COA // WATER // ACETYL-COA // 3-HYDROXY-3-METHYL-GLUTARYL-COA // NADPH // NADP // CO-A // PROTON // MEVALONATE // CPD-499 // ADP // CARBON-DIOXIDE // Pi // CPD-641 // ATP // CPD-4211 // DELTA3-ISOPENTENYL-PP	AT5G48230-MONOMER // AT5G47720-MONOMER // AT4G11820-MONOMER // AT1G76490-MONOMER // AT2G17370-MONOMER // AT5G27450-MONOMER // AT1G31910-MONOMER // CPLX-7041 // AT3G54250-MONOMER // AT3G02780-MONOMER // AT5G16440-MONOMER // MONOMERQT-9261	AT5G48230 // AT5G47720 // AT4G11820 // AT1G76490 // AT2G17370 // AT5G27450 // AT1G31910 // AT2G38700 // AT3G54250 // AT3G02780 // AT5G16440 // AT1G79690	IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN	ATP // NADPH // WATER // ACETYL-COA	CPD-4211 // Pi // CARBON-DIOXIDE // ADP // NADP // CO-A	Mevalonate-Pathways
PWY-6823	CH33ADO // MET // S-ADENOSYLMETHIONINE // GTP // CPD-4 // WATER // CPD-8123 // CPD-8122 // CPD-3 // MPT-Synthase-small-subunits // ATP // PROTON // Acceptor // AMP // Thiocarboxylated-MPT-synthases // Carboxyadenylated-MPT-synthases // Donor-H2 // L-ALPHA-ALANINE // L-Cysteine-Desulfurase-persulfide // Cysteine-Desulfurase-L-cysteine // CYS // PPI // PRECURSOR-Z // CPD-19179	AT2G31955-MONOMER // CPLX-7191 // AT4G10100-MONOMER // AT5G20990-MONOMER // MONOMERQT-7697 // AT5G45900-MONOMER // AT1G51310-MONOMER // CPLXQT-35 // AT5G65720-MONOMER // AT1G01290-MONOMER	AT2G31955 // AT2G43760 // AT5G20990 // AT5G55130 // AT5G45900 // AT1G51310 // AT1G08490 // AT5G65720 // AT1G01290 // AT4G10100	RXN-17809 // RXN0-308 // RXN-12473 // RXN-11361 // RXN-8348 // RXN-8344 // RXN-8342 // RXN-8340	CYS // Donor-H2 // ATP // CPD-3 // S-ADENOSYLMETHIONINE // GTP	PPI // L-ALPHA-ALANINE // AMP // Acceptor // CPD-8123 // MET // CH33ADO	Molybdenum-Cofactor-Biosynthesis
PWY-83	CPD-63 // SINAPYL-ALCOHOL // CPD-81 // CONIFERYL-ALDEHYDE // CPD-79 // SINAPALDEHYDE // UDP // CPD-82 // PROTON // CPD-12575 // CPD-94	AT3G50740-MONOMER	AT3G50740	RXN-95 // RXN-92 // RXN-91 // RXN-90	CPD-12575 // CPD-94 // SINAPALDEHYDE // CONIFERYL-ALDEHYDE // SINAPYL-ALCOHOL	PROTON // CPD-82 // UDP // CPD-79 // CPD-81 // CPD-63	LIGNIN-SYN // Metabolic-Clusters
PWY-3041	CPD-4892 // CPD-4888 // CPD-4889 // CPD-4886 // CPD-4890 // CPD-4891 // CPD-4893 // CPD-4903 // CPD-4261 // WATER // PPI // CPD-8767 // GERANYL-PP	AT4G16740-MONOMER // AT3G25830-MONOMER // AT2G24210-MONOMER // AT3G25810-MONOMER // AT3G25820-MONOMER	AT4G16740 // AT3G25830 // AT2G24210 // AT3G25810 // AT3G25820	RXN-8576 // RXN-12980 // RXN-5123 // RXN-5103 // RXN-5107 // RXN-5108 // 4.2.3.16-RXN // RXN-5109 // RXN-5110 // RXN-5106	GERANYL-PP // WATER	CPD-8767 // PPI // CPD-4261 // CPD-4903 // CPD-4893 // CPD-4891 // CPD-4890 // CPD-4886 // CPD-4889 // CPD-4888 // CPD-4892	MONOTERPENOID-SYN // Energy-Metabolism
PWY-2301	D-glucopyranose-6-phosphate // Pi // MYO-INOSITOL // 1-L-MYO-INOSITOL-1-P // WATER	AT4G39800-MONOMER // AT2G22240-MONOMER // AT5G10170-MONOMER // AT1G31190-MONOMER // AT3G02870-MONOMER // AT4G39120-MONOMER	AT4G39800 // AT2G22240 // AT5G10170 // AT1G31190 // AT3G02870 // AT4G39120	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	WATER // D-glucopyranose-6-phosphate	MYO-INOSITOL // Pi	Cyclitols-Biosynthesis
PWY-7140	MYRICETIN // PROTON // UDP // CPD-14844 // CPD-14843 // CPD-12575	AT1G30530-MONOMER	AT1G30530	RXN-13823 // RXN-13822	CPD-12575 // MYRICETIN	CPD-14844 // UDP // PROTON	FLAVONOL-SYN
PYRIDNUCSYN-PWY	GLT // GLN // NAD // AMP // AMMONIUM // ATP // DEAMIDO-NAD // PRPP // NICOTINATE_NUCLEOTIDE // PPI // CARBON-DIOXIDE // Pi // WATER // QUINOLINATE // DIHYDROXY-ACETONE-PHOSPHATE // HYDROGEN-PEROXIDE // IMINOASPARTATE // PROTON // OXYGEN-MOLECULE // L-ASPARTATE	AT5G55810-MONOMER // AT1G55090-MONOMER // AT2G01350-MONOMER // AT5G50210-MONOMER // AT5G14760-MONOMER	AT5G55810 // AT1G55090 // AT2G01350 // AT5G50210 // AT5G14760	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN	OXYGEN-MOLECULE // L-ASPARTATE // DIHYDROXY-ACETONE-PHOSPHATE // PRPP // AMMONIUM // ATP // GLN	HYDROGEN-PEROXIDE // Pi // PPI // CARBON-DIOXIDE // AMP // NAD // GLT	NAD-SYN
PWY3O-4107	Pi // ADP // NICOTINATE_NUCLEOTIDE // PRPP // NIACINE // AMMONIUM // PPI // AMP // GLT // PROTON // ATP // DEAMIDO-NAD // GLN // NIACINAMIDE // CPD-14762 // Histone-L-lysine // Histone-Acetyl-Lysine // NAD // WATER	AT5G55810-MONOMER // AT4G36940-MONOMER // AT2G23420-MONOMER // AT2G22570-MONOMER // AT5G23220-MONOMER // AT1G08980-MONOMER // AT5G23230-MONOMER // AT5G09420-MONOMER // AT3G17970-MONOMER // AT1G55090-MONOMER // MONOMERQT-8011 // AT5G55760-MONOMER	AT5G55810 // AT4G36940 // AT2G23420 // AT2G22570 // AT5G23220 // AT1G08980 // AT5G23230 // AT5G09420 // AT3G17970 // AT1G55090 // AT5G09230 // AT5G55760	RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN	Histone-Acetyl-Lysine // WATER // ATP // GLN // PRPP	Histone-L-lysine // CPD-14762 // GLT // AMP // PPI // AMMONIUM // ADP // Pi	NAD-SYN
PWY-5083	E- // Ubiquinols // Ubiquinones // ADP // PROTON // ATP // NADH // NADPH // Pi // NAD // NADP // WATER	AT1G21640-MONOMER // AT3G21080-MONOMER // AT2G07751-MONOMER // AT2G07689-MONOMER // ATMG01275-MONOMER // ATCG00890-MONOMER // ATCG01250-MONOMER // AT2G07785-MONOMER // AT1G16700-MONOMER // ATCG00430-MONOMER // ATCG01100-MONOMER // ATMG00285-MONOMER // ATMG01320-MONOMER // ATCG00420-MONOMER // CPLX-5263 // AT1G19580-MONOMER // AT4G20150-MONOMER // AT2G27730-MONOMER // AT2G42310-MONOMER // AT2G47690-MONOMER // AT2G31490-MONOMER // AT5G63510-MONOMER // AT3G57785-MONOMER // AT1G47260-MONOMER // AT5G66510-MONOMER // AT4G16450-MONOMER // AT3G12260-MONOMER // AT3G48680-MONOMER // AT3G08610-MONOMER // AT5G52840-MONOMER // ATMG00510-MONOMER // AT3G03100-MONOMER // AT1G79010-MONOMER // AT5G11770-MONOMER // AT4G02580-MONOMER // ATMG00070-MONOMER // AT5G37510-MONOMER // AT1G49140-MONOMER // AT5G67590-MONOMER // AT2G02050-MONOMER // AT5G08530-MONOMER // AT3G27890-MONOMER // ATCG01050-MONOMER // AT2G33220-MONOMER // AT5G04750-MONOMER // AT4G28005-MONOMER // AT4G26965-MONOMER // AT3G62790-MONOMER // MONOMERQT-8676 // AT1G70760-MONOMER // MONOMERQT-9349 // CPLX-7016 // CPLX-7017	AT1G21640 // AT3G21080 // AT2G07751 // AT2G07689 // ATMG01275 // ATCG00890 // ATCG01250 // AT2G07785 // AT1G16700 // ATCG00430 // ATCG01100 // ATMG00285 // ATMG01320 // ATCG00420 // AT2G20360 // ATMG00060 // ATMG00665 // ATMG00513 // ATMG00516 // ATMG01120 // AT1G19580 // AT4G20150 // AT2G27730 // AT2G42310 // AT2G47690 // AT2G31490 // AT5G63510 // AT3G57785 // AT1G47260 // AT5G66510 // AT4G16450 // AT3G12260 // AT3G48680 // AT3G08610 // AT5G52840 // ATMG00510 // AT3G03100 // AT1G79010 // AT5G11770 // AT4G02580 // ATMG00070 // AT5G37510 // AT1G49140 // AT5G67590 // AT2G02050 // AT5G08530 // AT3G27890 // ATCG01050 // AT2G33220 // AT5G04750 // AT4G28005 // AT4G26965 // AT3G62790 // AT3G18410 // AT1G70760 // AT1G67350 // AT1G78590 // AT3G21070	RXN-5822 // RXN-7703 // NADH-KINASE-RXN // NADH-DEHYDROG-A-RXN // NAD-KIN-RXN // PYRNUTRANSHYDROGEN-RXN	WATER // ATP // Ubiquinols	Pi // ADP // Ubiquinones	NAD-Metabolism
PWY-6938	ADP // Pi // PROTON // ATP // CPD-653 // CPD0-2472 // NADH // WATER	MONOMERQT-7927 // AT5G49970-MONOMER	AT5G19150 // AT5G49970	RXN-12754 // RXN-12752 // RXN-12753 // 4.2.1.93-RXN	WATER // ATP	PROTON // Pi // ADP	Energy-Metabolism
PWY-6809	CPD1F-133 // CPD-7424 // CPD1F-135	AT1G67080-MONOMER	AT1G67080	RXN-8074 // RXN1F-155	CPD1F-133	CPD-7424	C40-Carotenoids-Biosynthesis
PWY-6287	NEUROSPORENE // GERANYLGERANYL-PP // Donor-H2 // CPD1F-98 // CPD-7408 // Acceptor // PPI // CPD-12321 // CPD-464	CPLX1F-19 // CPLX1F-15 // AT5G17230-MONOMER	AT3G04870 // AT4G14210 // AT5G17230	RXNARA-8002 // RXN-8024 // RXN-8023 // 2.5.1.32-RXN // RXN-8022	Acceptor // GERANYLGERANYL-PP	PPI // Donor-H2 // NEUROSPORENE	C40-Carotenoids-Biosynthesis
PWY-381	NADH // NITRATE // NAD // Pi // ADP // GLN // GLT // ATP // PROTON // Reduced-ferredoxins // NITRITE // AMMONIUM // WATER // Oxidized-ferredoxins	CPLX-7198 // CPLX-7197 // AT1G48470-MONOMER // CPLX-4585 // CPLX-4584 // CPLX-4583 // CPLX-4582 // AT3G53180-MONOMER // CPLX-8950 // AT2G15620-MONOMER	AT1G37130 // AT1G77760 // AT1G48470 // AT5G16570 // AT3G17820 // AT1G66200 // AT5G37600 // AT3G53180 // AT5G35630 // AT2G15620 // AT4G14890	FERREDOXIN--NITRITE-REDUCTASE-RXN // GLUTAMINESYN-RXN // NITRATE-REDUCTASE-NADH-RXN	Reduced-ferredoxins // GLT // ATP // NITRATE // NADH	WATER // Oxidized-ferredoxins // GLN // ADP // Pi // NAD	Nitrate-Reduction
PWY-6845	ARG // PROTON // WATER // NADP // NITRIC-OXIDE // L-CITRULLINE // CPD-13518 // NADPH // OXYGEN-MOLECULE	AT4G10620-MONOMER // AT3G57180-MONOMER	AT4G10620 // AT3G57180	RXN-13565 // RXN-13564	NADPH // OXYGEN-MOLECULE // ARG	L-CITRULLINE // NITRIC-OXIDE // NADP // WATER	Nitric-Oxide-Biosynthesis
PWY-4983	CPD-13518 // WATER // NADP // NITRIC-OXIDE // NADPH // OXYGEN-MOLECULE // AMP // PPI // PROTON // L-ASPARTATE // L-CITRULLINE // ATP // FUM // ARG // L-ARGININO-SUCCINATE	AT3G57180-MONOMER // AT4G10620-MONOMER // AT4G24830-MONOMER // MONOMERQT-4120 // AT5G10920-MONOMER	AT3G57180 // AT4G10620 // AT4G24830 // AT5G10920	ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // NITRIC-OXIDE-SYNTHASE-RXN	L-ASPARTATE // ATP // NADPH // OXYGEN-MOLECULE	FUM // PPI // AMP // NITRIC-OXIDE // NADP // WATER	ARGININE-DEG // ARGININE-SYN // Nitric-Oxide-Biosynthesis
PWY-5640	NAD // NITRITE // CATECHOL // BENZENE-NO2 // OXYGEN-MOLECULE // NADH	AT1G71500-MONOMER	AT1G71500	RXN-3661	BENZENE-NO2 // OXYGEN-MOLECULE // NADH	CATECHOL // NITRITE // NAD	Nitrobenzene-Degradation
PWY-5805	PPI // CPD-21340 // GERANYL-PP // DELTA3-ISOPENTENYL-PP	AT1G78510-MONOMER // AT1G17050-MONOMER // AT1G36623-MONOMER	AT1G78510 // AT1G17050 // AT1G36623	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	GERANYL-PP // DELTA3-ISOPENTENYL-PP	CPD-21340 // PPI	All-Trans-Polyprenyl-Biosynthesis
PWY-6520	PPI // CPD-21340 // GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP	AT1G17050-MONOMER // AT1G78510-MONOMER // AT2G34630-MONOMER // AT1G36623-MONOMER	AT1G17050 // AT1G78510 // AT2G34630 // AT1G36623	RXN-11486	GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP	CPD-21340 // PPI	All-Trans-Polyprenyl-Biosynthesis
PWY-7388	ADP // Pi // ATP // ACETYL-COA // HCO3 // CO-A // MALONYL-COA // ACETYL-ACP // Acetoacetyl-ACPs // Beta-3-hydroxybutyryl-ACPs // Crotonyl-ACPs // Butanoyl-ACPs // ACP // CARBON-DIOXIDE // 3-oxo-hexanoyl-ACPs // MALONYL-ACP // WATER // NADP // Octanoyl-ACPs // 3-Oxo-octanoyl-ACPs // NADPH // PROTON	CPLX-6282 // AT1G36160-MONOMER // AT1G36180-MONOMER // ATCG00150-MONOMER // ATCG00140-MONOMER // ATCG00130-MONOMER // AT5G15530-MONOMER // MONOMERQT-8686 // AT1G80040-MONOMER // AT1G52670-MONOMER // AT2G30200-MONOMER // MONOMERQT-9399 // AT3G55310-MONOMER // AT3G46170-MONOMER // AT3G55290-MONOMER // AT1G10310-MONOMER // AT2G17845-MONOMER // AT1G62610-MONOMER // CPLX-7646 // AT5G10160-MONOMER // AT2G22230-MONOMER // AT3G45770-MONOMER // MONOMERQT-9294 // MONOMER-14118 // CPLX-7644	ATCG00500 // AT2G38040 // AT5G35360 // AT5G16390 // AT1G36160 // AT1G36180 // ATCG00150 // ATCG00140 // ATCG00130 // AT5G15530 // AT3G15690 // AT1G80040 // AT1G52670 // AT2G30200 // AT1G63380 // AT3G55310 // AT3G46170 // AT3G55290 // AT1G10310 // AT2G17845 // AT1G62610 // AT1G24360 // AT5G10160 // AT2G22230 // AT3G45770 // AT1G74960 // G-10790 // AT5G46290	RXN-14973 // RXN-14972 // RXN-9516 // RXN-9515 // 4.2.1.58-RXN // RXN-9514 // 3-OXOACYL-ACP-SYNTH-BASE-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN	NADPH // ACETYL-ACP // ATP // ACETYL-COA // HCO3	Octanoyl-ACPs // NADP // WATER // CARBON-DIOXIDE // CO-A // Pi // ADP	Fatty-acid-biosynthesis
PWY-5783	PPI // OCTAPRENYL-DIPHOSPHATE // FARNESYL-PP // DELTA3-ISOPENTENYL-PP	AT1G78510-MONOMER // AT1G17050-MONOMER // AT1G36623-MONOMER	AT1G78510 // AT1G17050 // AT1G36623	RXN-8992	FARNESYL-PP // DELTA3-ISOPENTENYL-PP	OCTAPRENYL-DIPHOSPHATE // PPI	All-Trans-Polyprenyl-Biosynthesis
