Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PWY-2301	D-glucopyranose-6-phosphate // Pi // MYO-INOSITOL // 1-L-MYO-INOSITOL-1-P // WATER	MONOMER-10801 // MONOMERDQC-43085 // MONOMERDQC-51315 // MONOMERDQC-54049 // MONOMERDQC-54912 // MONOMERDQC-55587 // MONOMERDQC-55969 // MONOMERDQC-57659 // MONOMERDQC-59702	G-8361 // ZM00001D036866 // ZM00001D037652 // ZM00001D023601 // ZM00001D028180 // ZM00001D030506 // ZM00001D045455 // ZM00001D048201 // ZM00001D014292	Cyclitols-Biosynthesis	WATER // D-glucopyranose-6-phosphate	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
PYRIDNUCSYN-PWY	GLT // GLN // NAD // AMP // AMMONIUM // ATP // DEAMIDO-NAD // PRPP // NICOTINATE_NUCLEOTIDE // PPI // CARBON-DIOXIDE // Pi // WATER // QUINOLINATE // DIHYDROXY-ACETONE-PHOSPHATE // HYDROGEN-PEROXIDE // IMINOASPARTATE // PROTON // L-ASPARTATE // OXYGEN-MOLECULE	MONOMERDQC-60400 // MONOMERDQC-50506 // MONOMERDQC-52032 // ZM00001D021419-MONOMER // ZM00001D040599-MONOMER // ZM00001D041077-MONOMER // ZM00001D041079-MONOMER // ZM00001D041076-MONOMER // MONOMERDQC-55111	ZM00001D051927 // ZM00001D005157 // ZM00001D006311 // ZM00001D021419 // ZM00001D040599 // ZM00001D041077 // ZM00001D041079 // ZM00001D041076 // ZM00001D015183	NAD-SYN	L-ASPARTATE // OXYGEN-MOLECULE // DIHYDROXY-ACETONE-PHOSPHATE // PRPP // AMMONIUM // ATP // GLN	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY3O-4107	Pi // ADP // NICOTINATE_NUCLEOTIDE // PRPP // NIACINE // AMMONIUM // PPI // AMP // GLT // PROTON // ATP // DEAMIDO-NAD // GLN // NIACINAMIDE // CPD-14762 // Histone-L-lysine // Histone-Acetyl-Lysine // NAD // WATER	MONOMERDQC-60400 // ZM00001D003674-MONOMER // MONOMERDQC-48252 // MONOMERDQC-51511 // ZM00001D003675-MONOMER // ZM00001D013463-MONOMER // ZM00001D002965-MONOMER // MONOMERDQC-55472 // ZM00001D051015-MONOMER // MONOMERDQC-59160 // MONOMERDQC-50506 // MONOMERDQC-57817 // ZM00001D023585-MONOMER	ZM00001D051927 // ZM00001D003674 // ZM00001D025412 // ZM00001D034777 // ZM00001D003675 // ZM00001D013463 // ZM00001D002965 // ZM00001D015986 // ZM00001D051015 // ZM00001D017145 // ZM00001D005157 // ZM00001D025705 // ZM00001D023585	NAD-SYN	Histone-Acetyl-Lysine // WATER // ATP // GLN // PRPP	RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5083	E- // Ubiquinols // Ubiquinones // ADP // PROTON // ATP // NADH // NADPH // Pi // NAD // NADP // WATER	MONOMERDQC-43192 // ZM00001D005632-MONOMER // MONOMERDQC-51497 // MONOMERDQC-54113 // MONOMERDQC-59817 // ZM00001D019605-MONOMER // ZEMACP101-MONOMER // ZEMACP091-MONOMER // ZEMACP090-MONOMER // ZEMACP089-MONOMER // ZEMACP086-MONOMER // ZEMACP075-MONOMER // ZEMACP029-MONOMER // ZEMACP028-MONOMER // ZEAMMP185-MONOMER // ZEAMMP093-MONOMER // ZEAMMP086-MONOMER // ZEAMMP036-MONOMER // ZEAMMP032-MONOMER // ZEAMMP012-MONOMER // ZM00001D028918-MONOMER // MONOMERDQC-43732 // ZM00001D016566-MONOMER // ZM00001D020930-MONOMER // MONOMERDQC-45146 // MONOMERDQC-45893 // MONOMERDQC-48006 // ZM00001D033531-MONOMER // MONOMERDQC-49183 // MONOMERDQC-49869 // MONOMERDQC-49928 // MONOMERDQC-50795 // MONOMERDQC-50900 // MONOMERDQC-51143 // ZM00001D012599-MONOMER // MONOMERDQC-52188 // ZM00001D027493-MONOMER // ZM00001D048204-MONOMER // ZM00001D042061-MONOMER // MONOMERDQC-54171 // MONOMERDQC-54185 // ZM00001D022324-MONOMER // ZM00001D018479-MONOMER // ZM00001D046083-MONOMER // ZM00001D035824-MONOMER // MONOMERDQC-56005 // ZM00001D038441-MONOMER // ZM00001D028181-MONOMER // ZM00001D025423-MONOMER // ZM00001D030138-MONOMER // ZM00001D011845-MONOMER // ZM00001D031431-MONOMER // MONOMERDQC-58149 // MONOMERDQC-58503 // ZM00001D043224-MONOMER // ZM00001D038508-MONOMER // ZM00001D043619-MONOMER // ZM00001D012469-MONOMER // ZM00001D040819-MONOMER // ZM00001D012742-MONOMER // ZM00001D016705-MONOMER // ZM00001D047441-MONOMER // ZM00001D043620-MONOMER // ZM00001D033530-MONOMER // MONOMERDQC-59996 // ZM00001D031975-MONOMER // MONOMERDQC-60212 // MONOMERDQC-60284 // ZM00001D038658-MONOMER // ZM00001D027389-MONOMER // ZM00001D040308-MONOMER // MONOMERDQC-60707 // MONOMERDQC-60845 // MONOMERDQC-60890 // MONOMER-11870	ZM00001D011835 // ZM00001D005632 // ZM00001D042052 // ZM00001D004716 // ZM00001D053076 // ZM00001D019605 // ZEMACP101 // ZEMACP091 // ZEMACP090 // ZEMACP089 // ZEMACP086 // ZEMACP075 // ZEMACP029 // ZEMACP028 // ZEAMMP185 // ZEAMMP093 // ZEAMMP086 // ZEAMMP036 // ZEAMMP032 // ZEAMMP012 // ZM00001D028918 // ZM00001D050384 // ZM00001D016566 // ZM00001D020930 // ZM00001D030080 // ZM00001D013424 // ZM00001D040515 // ZM00001D033531 // ZM00001D033753 // ZM00001D006421 // ZM00001D021536 // ZM00001D007048 // ZM00001D011732 // ZM00001D047608 // ZM00001D012599 // ZM00001D021958 // ZM00001D027493 // ZM00001D048204 // ZM00001D042061 // ZM00001D008215 // ZM00001D031940 // ZM00001D022324 // ZM00001D018479 // ZM00001D046083 // ZM00001D035824 // ZM00001D014417 // ZM00001D038441 // ZM00001D028181 // ZM00001D025423 // ZM00001D030138 // ZM00001D011845 // ZM00001D031431 // ZM00001D046260 // ZM00001D006714 // ZM00001D043224 // ZM00001D038508 // ZM00001D043619 // ZM00001D012469 // ZM00001D040819 // ZM00001D012742 // ZM00001D016705 // ZM00001D047441 // ZM00001D043620 // ZM00001D033530 // ZM00001D013156 // ZM00001D031975 // ZM00001D014428 // ZM00001D006061 // ZM00001D038658 // ZM00001D027389 // ZM00001D040308 // ZM00001D034244 // ZM00001D012741 // ZM00001D022341	NAD-Metabolism	WATER // ATP // Ubiquinols	RXN-5822 // RXN-7703 // NADH-KINASE-RXN // NADH-DEHYDROG-A-RXN // NAD-KIN-RXN // PYRNUTRANSHYDROGEN-RXN
PWY-6938	ADP // Pi // PROTON // ATP // CPD-653 // CPD0-2472 // NADH // WATER	MONOMERDQC-50928 // MONOMERDQC-57890	ZM00001D049088 // ZM00001D030533	Energy-Metabolism	WATER // ATP	RXN-12754 // RXN-12752 // RXN-12753 // 4.2.1.93-RXN
PWY-6602	VITEXIN // Ox-NADPH-Hemoprotein-Reductases // CPD-15074 // NARINGENIN-CMPD // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // WATER // ISOVITEXIN // PROTON // UDP // CPD-12655 // CPD-12575 // CPD-20015 // CPD-15088	ZM00001D045788-MONOMER // ZM00001D045862-MONOMER // ZM00001D037382-MONOMER // ZM00001D037384-MONOMER // ZM00001D037383-MONOMER	ZM00001D045788 // ZM00001D045862 // ZM00001D037382 // ZM00001D037384 // ZM00001D037383	FLAVANONES-SYN	CPD-12575 // NARINGENIN-CMPD // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	RXN-18753 // RXN-11685 // RXN-14076 // RXN-14069 // RXN-11686 // RXN-11684
PWY-6809	CPD1F-133 // CPD-7424 // CPD1F-135			C40-Carotenoids-Biosynthesis	CPD1F-133	RXN-8074 // RXN1F-155
PWY-381	NADH // NITRATE // NAD // Pi // ADP // GLN // GLT // ATP // PROTON // Reduced-ferredoxins // NITRITE // AMMONIUM // WATER // Oxidized-ferredoxins	ZM00001D046987-MONOMER // ZM00001D025718-MONOMER // ZM00001D018206-MONOMER // ZM00001D052139-MONOMER // ZM00001D031769-MONOMER // ZM00001D049995-MONOMER // ZM00001D039831-MONOMER // ZM00001D017025-MONOMER // MONOMERDQC-44044 // MONOMERDQC-44436 // ZM00001D031055-MONOMER // MONOMERDQC-47182 // MONOMERDQC-48430 // ZM00001D047936-MONOMER // ZM00001D044569-MONOMER // ZM00001D033947-MONOMER // MONOMERDQC-53543 // MONOMERDQC-54194 // MONOMERDQC-54400 // MONOMERDQC-58547 // MONOMERDQC-45054 // ZM00001D049977-MONOMER // MONOMERDQC-47105 // ZM00001D013211-MONOMER // ZM00001D052165-MONOMER // MONOMERDQC-54661	ZM00001D046987 // ZM00001D025718 // ZM00001D018206 // ZM00001D052139 // ZM00001D031769 // ZM00001D049995 // ZM00001D039831 // ZM00001D017025 // ZM00001D028260 // ZM00001D051804 // ZM00001D031055 // ZM00001D048520 // ZM00001D026501 // ZM00001D047936 // ZM00001D044569 // ZM00001D033947 // ZM00001D033747 // ZM00001D017958 // ZM00001D021367 // ZM00001D047015 // ZM00001D018161 // ZM00001D049977 // ZM00001D032085 // ZM00001D013211 // ZM00001D052165 // ZM00001D052164	Nitrate-Reduction	Reduced-ferredoxins // GLT // ATP // NITRATE // NADH	FERREDOXIN--NITRITE-REDUCTASE-RXN // GLUTAMINESYN-RXN // NITRATE-REDUCTASE-NADH-RXN
PWY-4983	CPD-13518 // WATER // NADP // NITRIC-OXIDE // NADPH // OXYGEN-MOLECULE // AMP // PPI // PROTON // L-ASPARTATE // L-CITRULLINE // ATP // FUM // ARG // L-ARGININO-SUCCINATE	MONOMERDQC-57975 // ZM00001D030534-MONOMER // MONOMERDQC-54183 // MONOMERDQC-52228 // MONOMERDQC-50474 // MONOMERDQC-50400 // ZM00001D020256-MONOMER // MONOMERDQC-48467 // MONOMERDQC-54681 // MONOMERDQC-55513	ZM00001D015531 // ZM00001D030534 // ZM00001D033409 // ZM00001D023884 // ZM00001D033408 // ZM00001D052423 // ZM00001D020256 // ZM00001D054079 // ZM00001D024048 // ZM00001D047667	ARGININE-DEG // Nitric-Oxide-Biosynthesis // ARGININE-SYN	L-ASPARTATE // ATP // NADPH // OXYGEN-MOLECULE	ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // NITRIC-OXIDE-SYNTHASE-RXN
PWY-7683	HYDROXYLAMINE // AMMONIUM // PROTON // NITRITE // Ferrohemoglobins // Ferrihemoglobins // NITRIC-OXIDE // OH	MONOMERDQC-58680	ZM00001D038718	NITROGEN-DEG	Ferrohemoglobins // NITRITE // PROTON	RXN-16805 // RXN-16809 // RXN-16818
PWY-5805	PPI // CPD-21340 // GERANYL-PP // DELTA3-ISOPENTENYL-PP	ZM00001D018740-MONOMER // MONOMERDQC-45300 // ZM00001D050159-MONOMER // MONOMERDQC-52244 // MONOMERDQC-53915 // ZM00001D012113-MONOMER // MONOMERDQC-60225	ZM00001D018740 // ZM00001D014367 // ZM00001D050159 // ZM00001D014369 // ZM00001D027694 // ZM00001D012113 // ZM00001D039142	All-Trans-Polyprenyl-Biosynthesis	GERANYL-PP // DELTA3-ISOPENTENYL-PP	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN
PWY-6520	PPI // CPD-21340 // GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP	MONOMERDQC-60225	ZM00001D039142	All-Trans-Polyprenyl-Biosynthesis	GERANYLGERANYL-PP // DELTA3-ISOPENTENYL-PP	RXN-11486
PWY-6237	PROTON // NADH // URATE // XANTHINE // NAD // WATER	MONOMER-14782 // MONOMERDQC-49693 // ZM00001D035993-MONOMER // MONOMERDQC-46698 // ZM00001D030465-MONOMER	G-11284 // ZM00001D033585 // ZM00001D035993 // ZM00001D029626 // ZM00001D030465	Transport-Pathways	NADH	RXN0-901 // TRANS-RXN-207 // TRANS-RXN-206
PWY-7388	ADP // Pi // ATP // ACETYL-COA // HCO3 // CO-A // MALONYL-COA // ACETYL-ACP // Acetoacetyl-ACPs // Beta-3-hydroxybutyryl-ACPs // Crotonyl-ACPs // Butanoyl-ACPs // ACP // CARBON-DIOXIDE // 3-oxo-hexanoyl-ACPs // MALONYL-ACP // WATER // NADP // Octanoyl-ACPs // 3-Oxo-octanoyl-ACPs // NADPH // PROTON	ZEMACP017-MONOMER // MONOMERDQC-56511 // ZM00001D047706-MONOMER // MONOMERDQC-53914 // ZM00001D050775-MONOMER // ZM00001D036898-MONOMER // MONOMERDQC-53242 // ZM00001D046627-MONOMER // ZM00001D016834-MONOMER // MONOMERDQC-51207 // ZM00001D045543-MONOMER // ZM00001D031453-MONOMER // MONOMERDQC-47563 // MONOMERDQC-59861 // MONOMERDQC-52873 // ZM00001D037491-MONOMER // MONOMERDQC-50823 // ZM00001D045027-MONOMER // MONOMERDQC-53474 // MONOMERDQC-46701	ZEMACP017 // ZM00001D014294 // ZM00001D047706 // ZM00001D028787 // ZM00001D050775 // ZM00001D036898 // ZM00001D016550 // ZM00001D046627 // ZM00001D016834 // ZM00001D004042 // ZM00001D045543 // ZM00001D031453 // ZM00001D025201 // ZM00001D049351 // ZM00001D010180 // ZM00001D037491 // ZM00001D049363 // ZM00001D045027 // ZM00001D037108 // ZM00001D015816	Fatty-acid-biosynthesis	NADPH // ACETYL-ACP // ATP // ACETYL-COA // HCO3	RXN-14973 // RXN-14972 // RXN-9516 // RXN-9515 // 4.2.1.58-RXN // RXN-9514 // 3-OXOACYL-ACP-SYNTH-BASE-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN
PWY-5783	PPI // OCTAPRENYL-DIPHOSPHATE // FARNESYL-PP // DELTA3-ISOPENTENYL-PP	MONOMERDQC-60225	ZM00001D039142	All-Trans-Polyprenyl-Biosynthesis	FARNESYL-PP // DELTA3-ISOPENTENYL-PP	RXN-8992
PWY-5147	Oxidized-ferredoxins // Stearoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE // PROTON // ACP // Oleoyl-ACPs // WATER // PPI // AMP // OLEOYL-COA // OLEATE-CPD // CO-A // ATP	ZM00001D025262-MONOMER // ZM00001D030165-MONOMER // MONOMERDQC-50792 // ZM00001D014498-MONOMER // MONOMERDQC-53609 // MONOMERDQC-53835 // MONOMERDQC-55572 // ZM00001D023247-MONOMER // MONOMERDQC-57670 // ZM00001D012221-MONOMER // ZM00001D050552-MONOMER // ZM00001D021059-MONOMER // ZM00001D024273-MONOMER // ZM00001D017500-MONOMER // MONOMERDQC-50674 // ZM00001D017499-MONOMER // ZM00001D043062-MONOMER // MONOMERDQC-43227 // MONOMERDQC-46560 // ZM00001D021004-MONOMER // MONOMERDQC-49074 // ZM00001D029902-MONOMER // ZM00001D026569-MONOMER // MONOMERDQC-58804 // MONOMERDQC-59990 // ZM00001D003702-MONOMER // MONOMERDQC-60296 // MONOMERDQC-60167 // MONOMERDQC-59217 // MONOMERDQC-59202 // MONOMERDQC-57823 // ZM00001D010943-MONOMER // MONOMERDQC-55554 // MONOMERDQC-55507 // MONOMERDQC-54864 // ZM00001D023351-MONOMER // MONOMERDQC-52883 // MONOMERDQC-52236 // MONOMERDQC-51307 // MONOMERDQC-50873 // ZM00001D044016-MONOMER // MONOMERDQC-43774 // MONOMERDQC-43236	ZM00001D025262 // ZM00001D030165 // ZM00001D012033 // ZM00001D014498 // ZM00001D042344 // ZM00001D025170 // ZM00001D004019 // ZM00001D023247 // ZM00001D030328 // ZM00001D012221 // ZM00001D050552 // ZM00001D021059 // ZM00001D024273 // ZM00001D017500 // ZM00001D002727 // ZM00001D017499 // ZM00001D043062 // ZM00001D002728 // ZM00001D045387 // ZM00001D021004 // ZM00001D005148 // ZM00001D029902 // ZM00001D026569 // ZM00001D036137 // ZM00001D029901 // ZM00001D003702 // ZM00001D043484 // ZM00001D043376 // ZM00001D052399 // ZM00001D052485 // ZM00001D023538 // ZM00001D010943 // ZM00001D026649 // ZM00001D053009 // ZM00001D045295 // ZM00001D023351 // ZM00001D053127 // ZM00001D023238 // ZM00001D043851 // ZM00001D024723 // ZM00001D044016 // ZM00001D005019 // ZM00001D039274	Oleate-Biosynthesis	CO-A // ATP // Stearoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE	RXN-9644 // 3.1.2.14-RXN // RXN-7903
PWY-6295	CPD-11505 // OH // CPD-11507 // WATER // CARBON-DIOXIDE // CO-A // CPD-11506 // PROTON // HEXANOYL-COA // MALONYL-COA	ZM00001D019478-MONOMER	ZM00001D019478	TERPENOPHENOLICS-SYN	PROTON // HEXANOYL-COA // MALONYL-COA // WATER	RXN-10689 // RXN-10688 // RXN-10687
PWY-6468	CPD-12299 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-12282 // DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	ZM00001D027537-MONOMER	ZM00001D027537	Unusual-fatty-acid-biosynthesis	DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	RXN-11336 // RXN-11340
PWY-6465	CPD-10267 // 10-HYDROXYDECANOATE // CPD-3617 // CO-A // PROTON // LAUROYLCOA-CPD // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-12282 // DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	ZM00001D031593-MONOMER // ZM00001D052281-MONOMER // ZM00001D002652-MONOMER // ZM00001D030077-MONOMER // ZM00001D039303-MONOMER // MONOMERDQC-53495 // ZM00001D003630-MONOMER // ZM00001D025445-MONOMER // MONOMERDQC-48599 // ZM00001D008999-MONOMER // ZM00001D006133-MONOMER // ZM00001D006909-MONOMER // ZM00001D048584-MONOMER // MONOMERDQC-43272 // ZM00001D027537-MONOMER	ZM00001D031593 // ZM00001D052281 // ZM00001D002652 // ZM00001D030077 // ZM00001D039303 // ZM00001D005676 // ZM00001D003630 // ZM00001D025445 // ZM00001D026144 // ZM00001D008999 // ZM00001D006133 // ZM00001D006909 // ZM00001D048584 // ZM00001D026704 // ZM00001D027537	Unusual-fatty-acid-biosynthesis	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // LAUROYLCOA-CPD // CPD-10267	RXN-11336 // RXN-9627 // RXN-11325 // RXN-9628
PWY-7060	CPD-18238 // CARBAMATE // GLN // GLT // Pi // L-CITRULLINE // PROTON // WATER // ADP // CARBAMOYL-P // AMMONIUM // HCO3 // ATP // L-ORNITHINE	MONOMERDQC-48402 // MONOMERDQC-48749 // ZM00001D051586-MONOMER // MONOMERDQC-54934 // MONOMERDQC-44044 // MONOMERDQC-44436 // ZM00001D031055-MONOMER // MONOMERDQC-47182 // MONOMERDQC-48430 // ZM00001D047936-MONOMER // ZM00001D044569-MONOMER // ZM00001D033947-MONOMER // MONOMERDQC-53543 // MONOMERDQC-54194 // MONOMERDQC-54400 // MONOMERDQC-58547 // MONOMERDQC-42923 // MONOMERDQC-44985 // MONOMERDQC-45022 // ZM00001D040103-MONOMER // ZM00001D048433-MONOMER // ZM00001D006854-MONOMER // MONOMERDQC-53231 // MONOMERDQC-59603 // MONOMERDQC-60196 // MONOMERDQC-60300 // ZM00001D008974-MONOMER	ZM00001D044250 // ZM00001D011192 // ZM00001D051586 // ZM00001D017790 // ZM00001D028260 // ZM00001D051804 // ZM00001D031055 // ZM00001D048520 // ZM00001D026501 // ZM00001D047936 // ZM00001D044569 // ZM00001D033947 // ZM00001D033747 // ZM00001D017958 // ZM00001D021367 // ZM00001D047015 // ZM00001D018091 // ZM00001D013476 // ZM00001D051563 // ZM00001D040103 // ZM00001D048433 // ZM00001D006854 // ZM00001D027380 // ZM00001D018314 // ZM00001D017769 // ZM00001D024950 // ZM00001D008974	Photosynthesis	WATER	TRANS-RXN-230 // TRANS-RXN-229 // CARBAMATE-KINASE-RXN // RXN-13482 // TRANS-RXN-228 // TRANS-RXN-227 // ORNCARBAMTRANSFER-RXN // GLUTAMINESYN-RXN // CARBPSYN-RXN
PWY-7489	CPD-16613 // CPD-16612 // PROTON // NADH-P-OR-NOP // CPD-16614 // CPD-7093 // NAD-P-OR-NOP	ZM00001D004048-MONOMER // MONOMERDQC-55733	ZM00001D004048 // ZM00001D003841	TERPENOID-PHYTOALEXINS	NAD-P-OR-NOP // CPD-16612	RXN-15467 // RXN-15466 // RXN-15465 // RXN-15464
PWY-7478	CPD-16611 // CPD-16610 // CPD-4753 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-16612 // CPD-16627 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	ZM00001D030976-MONOMER // ZM00001D020673-MONOMER	ZM00001D030976 // ZM00001D020673	TERPENOID-PHYTOALEXINS	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-4753	RXN-15441 // RXN-15394 // RXN-15381 // RXN-15382 // RXN-15379
PWY-7985	NADH // NAD // FORMATE // WATER // FORMYL-COA // CARBON-DIOXIDE // PROTON // AMP // PPI // OXALYL-COA // CO-A // OXALATE // ATP	ZM00001D006877-MONOMER // ZM00001D014163-MONOMER // ZM00001D053924-MONOMER // ZM00001D019818-MONOMER // ZM00001D033618-MONOMER // ZM00001D004323-MONOMER // ZM00001D011368-MONOMER // ZM00001D017801-MONOMER // MONOMERDQC-52635 // ZM00001D011367-MONOMER // ZM00001D008739-MONOMER // ZM00001D029229-MONOMER // ZM00001D023602-MONOMER // ZM00001D026157-MONOMER	ZM00001D006877 // ZM00001D014163 // ZM00001D053924 // ZM00001D019818 // ZM00001D033618 // ZM00001D004323 // ZM00001D011368 // ZM00001D017801 // ZM00001D045965 // ZM00001D011367 // ZM00001D008739 // ZM00001D029229 // ZM00001D023602 // ZM00001D026157	Oxalate-Degradation	OXALATE // ATP // WATER // NAD	OXALATE--COA-LIGASE-RXN // OXALYL-COA-DECARBOXYLASE-RXN // FORMYL-COA-HYDROLASE-RXN // 1.2.1.2-RXN
